TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,1083,00:00:01,F,LAUNCH_PAD,0.7,24.4,101.1,4.0,0.1,-1.7,0.6,0.2,-9.5,0.0,0.4,358.9,23:59:48,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,1083,00:00:02,F,LAUNCH_PAD,-0.1,24.4,101.1,4.0,0.1,-1.8,-0.4,-1.8,-9.4,0.0,0.4,357.4,23:59:49,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,1083,00:00:03,F,LAUNCH_PAD,0.2,24.4,101.1,4.0,0.1,-0.5,0.2,0.6,-9.5,0.0,0.4,356.8,23:59:50,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,1083,00:00:04,F,LAUNCH_PAD,-0.3,24.5,101.2,4.0,0.1,-0.1,0.4,-0.2,-9.4,-0.2,0.2,355.5,23:59:51,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,1083,00:00:05,F,LAUNCH_PAD,-0.1,24.5,101.1,4.0,0.1,-0.3,0.4,2.1,-9.5,-0.6,0.1,355.5,23:59:52,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,1083,00:00:06,F,LAUNCH_PAD,0.3,24.5,101.1,4.0,0.1,-0.1,-0.4,0.5,-9.4,-0.2,0.7,355.5,23:59:53,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,1083,00:00:07,F,LAUNCH_PAD,-0.3,24.5,101.1,4.0,0.1,-0.7,-0.1,-0.2,-9.4,0.1,0.4,355.1,23:59:54,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,1083,00:00:09,F,LAUNCH_PAD,0.1,24.5,101.1,4.0,0.1,-0.2,0.4,0.2,-9.4,0.1,0.3,355.0,23:59:55,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
9,1083,00:00:10,F,LAUNCH_PAD,0.1,24.6,101.1,3.9,0.1,-0.2,-0.5,0.8,-9.4,-0.2,0.4,354.6,23:59:57,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
10,1083,00:00:11,F,LAUNCH_PAD,-0.0,24.6,101.1,3.9,0.1,-0.4,-0.4,4.4,-9.5,0.6,0.4,354.6,23:59:58,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
11,1083,00:00:12,F,LAUNCH_PAD,0.5,24.7,101.1,4.0,0.0,-0.3,-0.6,1.0,-9.5,-0.1,0.4,353.3,23:59:59,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
12,1083,00:00:13,F,LAUNCH_PAD,-0.1,24.7,101.1,3.9,0.4,-0.2,0.1,-0.2,-9.5,0.0,0.4,353.3,00:00:00,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
13,1083,00:00:14,F,LAUNCH_PAD,0.0,24.7,101.1,3.9,0.4,-0.2,0.4,-0.3,-9.5,0.2,0.4,353.3,00:00:01,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
14,1083,00:00:15,F,LAUNCH_PAD,0.2,24.7,101.1,3.9,0.4,0.2,-0.2,-0.2,-9.4,0.0,0.4,353.3,00:00:02,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
15,1083,00:00:16,F,LAUNCH_PAD,0.1,24.7,101.1,4.0,0.0,-0.1,-0.2,0.1,-9.5,0.1,0.4,353.3,00:00:03,0.000000,0.000000,0.000000,0,MECCONTON,0.7,TRUE,FALSE,FALSE,0.0,0.0,0.0
16,1083,00:00:17,F,LAUNCH_PAD,1.1,24.8,101.1,3.9,0.1,-0.0,-0.1,0.2,-9.4,0.0,0.4,353.3,00:00:04,0.000000,0.000000,0.000000,0,MECCONTON,1.1,TRUE,FALSE,FALSE,0.0,0.0,0.0
17,1083,00:00:18,F,LAUNCH_PAD,0.7,24.8,101.1,3.9,0.1,-0.1,0.1,0.4,-9.5,0.2,0.4,353.3,00:00:05,0.000000,0.000000,0.000000,0,MECCONTON,1.1,TRUE,FALSE,FALSE,0.0,0.0,0.0
18,1083,00:00:19,F,LAUNCH_PAD,0.6,24.8,101.1,3.9,0.3,0.1,0.0,-0.1,-9.5,0.1,0.4,353.3,00:00:06,0.000000,0.000000,0.000000,0,MECCONTON,1.1,TRUE,FALSE,FALSE,0.0,0.0,0.0
19,1083,00:00:20,F,LAUNCH_PAD,0.7,24.8,101.1,4.0,0.0,-0.0,0.2,-0.1,-9.5,0.1,0.4,353.3,18:45:38,0.000000,0.000000,0.000000,0,MECCONTON,1.1,TRUE,FALSE,FALSE,0.0,0.0,0.0
20,1083,00:00:21,F,LAUNCH_PAD,1.0,24.9,101.1,3.9,0.2,0.1,-0.1,-0.1,-9.4,0.1,0.5,353.3,18:45:39,0.000000,0.000000,0.000000,0,MECCONTON,1.1,TRUE,FALSE,FALSE,0.0,0.0,0.0
21,1083,00:00:22,F,LAUNCH_PAD,0.7,24.9,101.1,3.9,0.2,0.2,-0.1,0.6,-9.5,0.0,0.4,352.2,18:45:04,0.000000,0.000000,0.000000,0,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
22,1083,00:00:23,F,LAUNCH_PAD,0.3,24.9,101.1,3.9,0.2,-0.3,0.0,0.6,-9.6,0.1,0.6,352.2,18:45:41,0.000000,0.000000,0.000000,0,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
23,1083,00:00:24,F,LAUNCH_PAD,0.5,24.9,101.1,4.0,0.0,0.4,0.2,-0.2,-9.4,0.1,0.3,352.2,18:45:41,0.000000,0.000000,0.000000,0,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
24,1083,00:00:25,F,LAUNCH_PAD,0.2,25.0,101.1,3.9,0.1,-0.0,0.0,0.2,-9.5,0.1,0.4,352.2,18:45:43,47.799999,33.385372,-117.495537,7,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
25,1083,00:00:26,F,LAUNCH_PAD,1.0,25.0,101.1,3.9,0.1,-0.0,-0.2,0.7,-9.5,0.2,0.5,348.3,18:45:44,48.000000,33.385376,-117.495514,7,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
26,1083,00:00:27,F,LAUNCH_PAD,-0.2,25.0,101.1,3.9,0.1,-11.6,-6.9,1.8,-8.8,-0.4,0.6,345.9,18:45:45,47.400002,33.385376,-117.495499,7,MECCONTON,1.2,TRUE,FALSE,FALSE,0.0,0.0,0.0
27,1083,00:00:28,F,LAUNCH_PAD,1.5,25.0,101.1,4.0,0.0,17.7,2.8,4.4,-9.1,-1.1,-0.3,347.8,18:45:46,48.700001,33.385376,-117.495506,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
28,1083,00:00:29,F,LAUNCH_PAD,0.2,25.1,101.1,3.9,0.3,-2.6,1.4,11.7,-8.1,-2.2,-0.1,346.3,18:45:47,48.900002,33.385376,-117.495506,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
29,1083,00:00:30,F,LAUNCH_PAD,0.3,25.1,101.1,3.9,0.3,-8.6,21.8,-0.4,-10.3,-1.4,0.1,344.7,18:45:48,48.599998,33.385376,-117.495506,6,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
30,1083,00:00:31,F,LAUNCH_PAD,0.3,25.1,101.1,3.9,0.2,-16.4,-9.1,-28.2,-0.3,-0.4,0.4,338.8,18:45:49,48.400002,33.385376,-117.495506,6,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
31,1083,00:00:32,F,LAUNCH_PAD,0.0,25.2,101.1,4.0,0.0,-14.7,20.2,-21.2,-12.2,-0.0,0.3,335.6,18:45:50,48.200001,33.385376,-117.495499,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
32,1083,00:00:33,F,LAUNCH_PAD,0.2,25.2,101.1,3.9,0.2,8.4,25.5,-34.4,-10.8,2.4,0.1,307.2,18:45:51,47.099998,33.385376,-117.495499,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
33,1083,00:00:34,F,LAUNCH_PAD,-0.2,25.2,101.1,3.9,0.1,-1.0,-2.9,3.1,-8.3,1.0,1.8,304.4,18:45:52,46.400002,33.385372,-117.495499,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
34,1083,00:00:35,F,LAUNCH_PAD,0.3,25.2,101.1,3.9,0.1,-16.6,1.8,11.4,-9.2,0.9,0.9,304.9,18:45:53,45.599998,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
35,1083,00:00:36,F,LAUNCH_PAD,0.8,25.3,101.1,4.0,0.0,-5.2,8.8,-7.9,-9.0,0.5,1.5,296.2,18:45:54,45.000000,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
36,1083,00:00:37,F,LAUNCH_PAD,0.2,25.3,101.1,4.0,0.0,15.6,-9.2,15.9,-9.3,-0.1,0.6,297.9,18:45:55,45.000000,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
37,1083,00:00:38,F,LAUNCH_PAD,0.3,25.4,101.1,3.9,0.1,-12.6,-18.6,35.1,-8.9,0.4,1.1,297.8,18:45:56,44.900002,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
38,1083,00:00:39,F,LAUNCH_PAD,0.1,25.4,101.1,3.9,0.1,11.6,-1.9,-20.4,-10.8,1.5,1.0,295.4,18:45:57,45.000000,33.385372,-117.495491,6,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
39,1083,00:00:40,F,LAUNCH_PAD,-0.0,25.4,101.1,4.0,0.0,-41.8,10.5,33.6,-0.1,0.1,0.8,289.0,18:45:58,44.599998,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
40,1083,00:00:41,F,LAUNCH_PAD,-0.7,25.4,101.2,3.9,0.3,31.7,-20.8,-6.6,-8.3,0.4,2.3,292.8,18:45:59,44.599998,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
41,1083,00:00:42,F,LAUNCH_PAD,0.7,25.5,101.1,3.9,0.1,61.6,-8.8,6.4,-9.4,0.7,2.2,338.2,18:46:00,44.500000,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
42,1083,00:00:43,F,LAUNCH_PAD,-0.1,25.5,101.1,3.9,0.1,-6.2,2.7,-6.7,-9.6,0.6,-0.0,328.4,18:46:01,44.599998,33.385372,-117.495491,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
43,1083,00:00:44,F,LAUNCH_PAD,0.4,25.5,101.1,4.0,0.0,0.2,2.0,4.5,-9.6,0.2,1.1,314.5,18:46:02,44.599998,33.385372,-117.495499,7,DROP!!!,1.9,TRUE,FALSE,FALSE,0.0,0.0,0.0
44,1083,00:00:45,F,LAUNCH_PAD,1.2,25.6,101.1,3.9,0.1,-0.0,2.3,6.1,-9.5,0.7,0.8,316.4,18:46:03,44.700001,0.330000,-117.495499,7,DROP!!!,2.0,TRUE,FALSE,FALSE,0.0,0.0,0.0
