TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,1083,00:05:44,F,LAUNCH_PAD,-0.9,23.3,101.2,4.0,0.1,32.7,5.9,-16.0,-9.5,0.3,3.3,48.4,17:08:06,42.000000,33.385380,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,1083,00:05:45,F,LAUNCH_PAD,-1.4,23.2,101.2,4.0,0.1,-7.6,-16.8,4.4,-9.5,-0.9,2.0,92.9,17:08:07,42.000000,33.385380,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,1083,00:05:46,F,LAUNCH_PAD,-1.1,23.2,101.2,4.0,0.1,-5.3,-12.4,-19.2,-9.1,-0.2,3.1,28.2,17:08:08,42.000000,33.385380,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,1083,00:05:47,F,LAUNCH_PAD,0.1,23.2,101.2,4.0,0.1,-1.1,-1.0,-0.5,-9.1,-0.2,3.0,29.4,17:08:10,41.900002,33.385380,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,1083,00:05:48,F,LAUNCH_PAD,-1.0,23.1,101.2,4.0,0.1,40.6,-27.0,-2.8,-8.4,-1.3,2.0,30.5,17:08:11,41.700001,33.385376,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,1083,00:05:49,F,LAUNCH_PAD,-0.7,23.1,101.2,4.0,0.1,25.6,-28.4,14.4,-9.4,-1.4,2.6,15.3,17:08:12,41.500000,33.385376,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,1083,00:05:50,F,LAUNCH_PAD,-0.6,23.1,101.2,4.0,0.1,111.0,13.2,-11.1,-10.9,-1.6,3.2,32.2,17:08:13,41.400002,33.385372,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,1083,00:05:51,F,LAUNCH_PAD,-0.8,23.1,101.2,4.0,0.1,-16.7,4.8,-9.0,-9.3,-1.1,2.8,81.2,17:08:14,41.299999,33.385368,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
9,1083,00:05:52,F,LAUNCH_PAD,-1.1,23.1,101.2,4.0,0.1,-62.8,-20.1,13.4,-9.4,-1.3,2.8,45.4,17:08:15,41.200001,33.385365,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
10,1083,00:05:53,F,LAUNCH_PAD,-1.1,23.1,101.2,4.0,0.1,75.2,15.6,12.8,-9.4,-1.2,3.1,49.8,17:08:16,41.099998,33.385365,-117.495567,11,MECCONTOFF,2.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
