PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:00:01,1,F,LAUNCH_PAD,0.2,35.1,100.9,4.1,0.1,14.4,4.1,5.4,-9.2,-2.3,1.2,309.7,00:00:00,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
2,00:00:02,2,F,LAUNCH_PAD,0.7,35.0,100.9,4.1,0.1,-0.3,1.5,0.4,-9.2,-2.0,1.4,311.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
3,00:00:03,3,F,LAUNCH_PAD,-0.1,35.1,100.9,4.1,0.1,-20.8,16.7,14.1,-9.8,0.4,1.5,310.8,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
4,00:00:04,4,F,LAUNCH_PAD,-0.8,35.2,100.9,4.1,0.1,21.8,-28.9,-18.6,-10.4,0.5,0.4,315.5,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
5,00:00:05,5,F,LAUNCH_PAD,-0.2,35.2,100.9,4.1,0.1,-3.8,18.6,-7.4,-9.9,-0.1,-0.8,316.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
6,00:00:06,6,F,LAUNCH_PAD,0.2,35.2,100.9,4.1,0.1,5.6,1.6,2.5,-9.7,-0.3,-0.6,319.6,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
7,00:00:07,7,F,LAUNCH_PAD,-0.6,35.2,100.9,4.1,0.1,-0.5,-2.2,-1.1,-9.9,0.2,-1.3,315.9,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
8,00:00:08,8,F,LAUNCH_PAD,-1.6,35.2,100.9,4.1,0.1,-6.6,-7.6,-2.9,-10.2,-0.3,-1.2,314.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
9,00:00:09,9,F,LAUNCH_PAD,-0.8,35.2,100.9,4.1,0.1,-3.8,1.6,0.3,-9.5,-0.3,-0.8,307.1,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
10,00:00:10,10,F,LAUNCH_PAD,-0.7,35.3,100.9,4.1,0.1,-10.2,0.5,-1.9,-10.5,-0.6,-0.5,312.7,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
11,00:00:11,11,F,LAUNCH_PAD,-0.6,35.2,100.9,4.1,0.0,1.8,-0.6,-5.9,-9.9,-0.7,-1.1,305.4,00:00:00,0.000000,0.000000,0.000000,0,N/A,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
12,00:00:12,12,F,LAUNCH_PAD,-0.4,35.2,100.9,4.1,0.1,1.6,-0.9,1.9,-9.7,-1.0,-1.3,306.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
13,00:00:13,13,F,LAUNCH_PAD,-0.7,35.3,100.9,4.1,0.1,30.9,3.1,22.7,-9.8,-0.7,-0.7,318.5,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
14,00:00:14,14,F,LAUNCH_PAD,-1.0,35.3,100.9,4.1,0.1,18.1,7.5,4.1,-11.7,1.1,-1.2,321.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
15,00:00:16,15,F,PAYLOAD_RELEASE,-1.1,35.3,100.9,4.1,0.1,-40.3,-0.2,4.9,-25.6,2.5,-3.7,335.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,TRUE,33.4,-117.5,-117.5
16,00:00:17,16,F,LANDED,-1.1,35.3,100.9,4.0,0.2,-62.0,2.2,5.8,-9.7,-0.5,-0.5,304.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
17,00:00:18,17,F,LANDED,-0.7,35.4,100.9,4.0,0.1,-1.4,-0.1,-0.4,-9.8,-0.1,-0.4,342.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
18,00:00:19,18,F,LANDED,-1.0,35.4,100.9,4.0,0.1,112.5,16.8,4.3,-9.7,-0.4,0.0,19.1,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
19,00:00:20,19,F,LANDED,-0.1,35.4,100.9,4.1,0.1,51.9,-11.8,0.5,-10.0,-0.0,0.4,90.5,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
20,00:00:21,20,F,LANDED,-0.4,35.4,100.9,4.0,0.1,190.9,-16.8,7.2,-9.6,-1.0,-0.4,167.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
21,00:00:22,21,F,LANDED,-1.1,35.3,100.9,4.1,0.1,-117.1,17.3,15.8,-10.0,0.1,0.2,188.9,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
22,00:00:23,22,F,LANDED,-0.9,35.4,100.9,4.0,0.1,-178.8,-2.6,8.4,-9.7,0.1,-1.2,98.4,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
23,00:00:24,23,F,LANDED,-0.9,35.4,100.9,4.0,0.1,-40.4,19.0,1.6,-9.9,0.0,0.7,32.9,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
24,00:00:25,24,F,LANDED,-0.7,35.4,100.9,4.0,0.1,26.4,-19.9,-6.6,-9.9,-0.4,-1.5,17.1,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
25,00:00:26,25,F,LANDED,-0.9,35.4,100.9,4.0,0.1,51.1,-9.9,4.3,-9.7,-0.8,-1.2,83.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
26,00:00:27,26,F,LANDED,-1.0,35.5,100.9,4.0,0.1,-3.8,-1.8,-8.1,-9.7,0.2,-1.1,110.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
27,00:00:28,27,F,LANDED,-1.2,35.5,100.9,4.0,0.1,-26.4,-16.7,5.6,-10.2,-0.4,-1.6,99.0,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
28,00:00:29,28,F,LANDED,-1.0,35.5,100.9,4.1,0.1,-3.3,-1.2,2.4,-9.8,-0.1,-0.6,91.6,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
29,00:00:30,29,F,LANDED,-1.6,35.5,100.9,4.1,0.1,1.3,-9.4,-4.6,-9.8,-0.4,-0.5,89.3,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
30,00:00:31,30,F,LANDED,-1.4,35.5,100.9,4.1,0.1,-7.1,4.9,-0.9,-9.8,-0.4,0.0,100.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
31,00:00:32,31,F,LANDED,-0.2,35.4,100.9,4.0,0.1,3.6,12.5,15.2,-9.6,-0.5,-0.4,96.8,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.5,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
32,00:00:33,32,F,LANDED,1.2,35.5,100.9,4.1,0.1,-3.1,-9.4,-3.4,-10.0,-0.2,-1.0,98.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
33,00:00:34,33,F,LANDED,-1.3,35.4,100.9,4.0,0.1,-3.6,-2.1,5.3,-9.9,-0.1,-1.1,96.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
34,00:00:35,34,F,LANDED,-0.9,35.4,100.9,4.1,0.1,-4.6,9.0,-10.6,-9.8,-0.4,-0.8,89.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
35,00:00:36,35,F,LANDED,-0.8,35.4,100.9,4.0,0.1,-28.7,-1.8,-0.6,-10.0,-0.6,-1.0,91.6,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
36,00:00:37,36,F,LANDED,-1.1,35.4,100.9,4.1,0.1,0.6,-0.6,-2.4,-9.9,-0.4,-1.0,87.4,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
37,00:00:38,37,F,LANDED,-1.9,35.5,100.9,4.0,0.1,-2.6,2.5,2.7,-9.9,-0.4,-1.0,88.4,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,1.7,TRUE,TRUE,FALSE,33.4,-117.5,-117.5
