PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:00:35,34,F,LAUNCH_PAD,-1.0,23.7,101.1,4.0,0.2,0.9,-4.5,0.7,-7.9,3.6,3.7,127.3,18:42:20,49.299999,33.385395,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,00:00:36,35,F,LAUNCH_PAD,-0.6,23.8,101.1,4.0,0.2,-2.9,1.1,-1.2,-7.8,3.8,3.9,126.9,18:42:21,49.299999,33.385395,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,00:00:37,36,F,LAUNCH_PAD,-0.7,23.8,101.1,4.0,0.2,1.1,-8.5,-2.3,-7.6,3.8,4.1,128.1,18:42:22,49.299999,33.385395,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,00:00:38,37,F,LAUNCH_PAD,-0.9,23.8,101.1,4.0,0.2,2.9,3.7,1.5,-7.8,3.8,4.1,127.1,18:42:23,49.299999,33.385395,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,00:00:39,38,F,LAUNCH_PAD,-0.7,23.8,101.1,4.0,0.2,-4.4,2.4,-0.5,-8.1,3.8,3.9,125.4,18:42:24,49.299999,33.385395,-117.495506,6,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,00:00:40,39,F,LAUNCH_PAD,-0.4,23.8,101.1,4.0,0.2,-1.5,-0.8,-1.3,-8.0,3.8,3.8,125.4,18:42:25,49.299999,33.385387,-117.495506,6,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,00:00:41,40,F,LAUNCH_PAD,-0.2,23.9,101.1,4.0,0.2,-2.2,1.6,0.1,-7.9,3.8,3.8,125.6,18:42:26,49.400002,33.385387,-117.495506,6,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,00:00:42,41,F,LAUNCH_PAD,-0.4,23.9,101.1,4.0,0.2,4.0,-1.2,1.1,-8.0,3.8,4.0,125.2,18:42:27,49.400002,33.385399,-117.495506,6,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
9,00:00:43,42,F,LAUNCH_PAD,-0.3,23.9,101.1,4.0,0.2,3.9,1.2,-0.6,-7.9,3.7,3.8,127.2,18:42:28,49.400002,33.385403,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
10,00:00:44,43,F,LAUNCH_PAD,-0.8,23.9,101.1,4.0,0.1,-8.5,2.4,-1.1,-8.1,3.8,3.6,125.9,18:42:29,49.400002,33.385406,-117.495499,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
11,00:00:45,44,F,LAUNCH_PAD,-0.1,23.9,101.1,4.0,0.2,10.4,-12.2,-0.4,-7.7,3.2,4.4,127.0,18:42:30,49.400002,33.385414,-117.495499,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
12,00:00:46,45,F,LAUNCH_PAD,-0.9,24.0,101.1,4.0,0.1,17.9,-2.5,10.8,-8.8,1.8,0.7,141.4,18:42:31,49.500000,33.385422,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
13,00:00:47,46,F,LAUNCH_PAD,-1.0,24.0,101.1,4.0,0.1,-2.5,2.7,0.4,-9.5,1.4,1.0,143.5,18:42:32,49.500000,33.385422,-117.495506,7,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
14,00:00:48,47,F,LAUNCH_PAD,-0.3,24.0,101.1,4.0,0.1,2.4,2.4,4.8,-9.5,1.2,0.9,143.5,18:42:33,49.500000,33.385422,-117.495506,8,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
15,00:00:49,48,F,LAUNCH_PAD,-0.4,24.0,101.1,4.0,0.1,2.1,-1.1,0.1,-9.4,1.3,0.7,143.1,18:42:34,49.500000,33.385426,-117.495499,8,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
16,00:00:50,49,F,LAUNCH_PAD,-0.8,24.1,101.1,4.0,0.1,0.4,-0.1,2.1,-9.6,1.1,0.8,143.1,18:42:35,49.500000,33.385429,-117.495499,8,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
17,00:00:51,50,F,LAUNCH_PAD,-0.5,24.1,101.1,4.0,0.1,4.2,-4.0,0.8,-9.3,1.3,0.8,142.8,18:42:36,49.500000,33.385433,-117.495499,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
18,00:00:52,51,F,LAUNCH_PAD,-0.6,24.1,101.1,4.0,0.1,-2.1,-18.9,-1.2,-9.5,1.7,1.1,143.3,18:42:37,49.599998,33.385437,-117.495499,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
19,00:00:53,52,F,LAUNCH_PAD,-0.9,24.1,101.1,4.0,0.1,1.3,-6.6,1.1,-9.6,1.9,1.3,144.4,18:42:38,49.599998,33.385445,-117.495499,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
20,00:00:54,53,F,LAUNCH_PAD,-1.1,24.1,101.1,4.0,0.1,-6.3,7.4,-8.4,-9.8,2.3,1.3,144.2,18:42:39,49.599998,33.385448,-117.495499,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
21,00:00:55,54,F,LAUNCH_PAD,-1.3,24.1,101.1,4.0,0.1,4.4,-14.4,0.8,-9.6,1.7,0.7,142.2,18:42:40,49.599998,33.385452,-117.495499,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
22,00:00:56,55,F,LAUNCH_PAD,-1.1,24.2,101.1,4.0,0.1,0.6,-0.2,9.1,-9.5,2.4,0.5,142.1,18:42:41,49.700001,33.385456,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
23,00:00:57,56,F,LAUNCH_PAD,-0.8,24.2,101.1,4.0,0.1,-4.3,1.9,-6.4,-9.5,1.6,0.7,141.2,18:42:42,49.700001,33.385460,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
24,00:00:58,57,F,LAUNCH_PAD,-0.6,24.2,101.1,4.0,0.1,-7.9,-0.5,-13.1,-10.4,1.8,0.8,140.9,18:42:43,49.700001,33.385464,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
25,00:00:59,58,F,LAUNCH_PAD,-1.0,24.2,101.1,4.0,0.1,-5.8,-1.6,-5.3,-9.6,1.7,0.4,140.7,18:42:44,49.799999,33.385460,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
26,00:01:00,59,F,LAUNCH_PAD,-0.1,24.2,101.1,4.0,0.1,-5.2,7.2,-5.2,-9.5,1.2,0.3,141.2,18:42:45,49.799999,33.385464,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
27,00:01:01,60,F,LAUNCH_PAD,-0.6,24.3,101.1,4.0,0.1,27.4,-72.0,13.3,-7.3,-0.1,4.7,150.8,18:42:46,49.900002,33.385464,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
28,00:01:02,61,F,LAUNCH_PAD,-0.3,24.3,101.1,4.0,0.1,20.8,-21.8,26.5,-9.2,-1.2,3.5,137.9,18:42:47,49.900002,33.385464,-117.495506,9,MECCONTOFF,0.2,FALSE,FALSE,FALSE,0.0,0.0,0.0
29,00:01:03,62,F,LAUNCH_PAD,0.8,24.3,101.0,4.0,0.1,-48.2,5.8,-4.1,-10.0,-1.9,1.2,135.4,18:42:48,49.900002,33.385468,-117.495506,9,MECCONTOFF,0.7,FALSE,FALSE,FALSE,0.0,0.0,0.0
30,00:01:04,63,F,LAUNCH_PAD,0.4,24.3,101.1,4.0,0.1,-0.4,0.5,-0.8,-9.8,-0.2,-0.1,119.1,18:42:49,49.900002,33.385468,-117.495506,9,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
31,00:01:05,64,F,LAUNCH_PAD,1.1,24.3,101.0,4.0,0.1,-0.2,-0.1,-0.4,-9.9,-0.3,0.3,127.3,18:42:50,49.900002,33.385468,-117.495506,9,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
32,00:01:06,65,F,LAUNCH_PAD,-0.0,24.3,101.1,4.0,0.1,-0.1,0.2,0.1,-9.8,-0.3,0.2,130.9,18:42:51,49.900002,33.385468,-117.495506,10,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
33,00:01:07,66,F,LAUNCH_PAD,-0.1,24.3,101.1,4.0,0.1,-0.0,-0.2,0.1,-9.9,-0.3,0.3,132.1,18:42:52,49.900002,33.385464,-117.495506,10,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
34,00:01:08,67,F,LAUNCH_PAD,0.4,24.3,101.1,4.0,0.1,-0.0,0.1,-0.1,-9.8,-0.3,0.2,132.6,18:42:53,49.900002,33.385468,-117.495506,10,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
35,00:01:09,68,F,LAUNCH_PAD,0.4,24.4,101.1,4.0,0.1,-0.1,0.1,-0.2,-9.8,-0.3,0.2,132.6,18:42:54,49.900002,33.385464,-117.495506,10,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
36,00:01:10,69,F,LAUNCH_PAD,-0.1,24.4,101.1,4.0,0.1,1.1,-2.1,-0.9,-9.8,-0.5,0.5,133.1,18:42:55,49.900002,33.385468,-117.495506,10,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
37,00:01:11,70,F,LAUNCH_PAD,0.3,24.4,101.1,4.1,0.1,2.9,1.8,-1.0,-9.3,-0.2,-0.5,134.7,18:42:56,49.900002,33.385468,-117.495506,9,MECCONTOFF,1.1,FALSE,FALSE,FALSE,0.0,0.0,0.0
