PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:00:01,1,F,LAUNCH_PAD,1.8,24.8,101.0,4.1,0.1,-2.5,-0.2,2.8,9.6,1.8,0.2,135.0,18:58:46,79.500000,33.385399,-117.495560,13,N/A,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
2,00:00:02,2,F,LAUNCH_PAD,1.3,24.8,101.0,4.1,0.1,-75.1,99.0,214.8,-1.8,-7.1,2.1,287.3,18:58:47,79.599998,33.385399,-117.495552,12,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
3,00:00:03,3,F,LAUNCH_PAD,0.8,24.8,101.0,4.1,0.1,36.3,-0.1,3.7,-9.4,0.6,-1.4,199.8,18:58:48,79.599998,33.385395,-117.495560,12,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
4,00:00:04,4,F,LAUNCH_PAD,0.4,24.8,101.0,4.1,0.1,-0.2,0.3,-0.4,-9.4,0.0,-0.8,209.1,18:58:49,79.699997,33.385391,-117.495560,14,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
5,00:00:05,5,F,LAUNCH_PAD,0.6,24.8,101.0,4.1,0.1,-0.0,-0.0,0.1,-9.4,0.1,-0.5,209.0,18:58:50,79.699997,33.385387,-117.495560,14,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
6,00:00:06,6,F,LAUNCH_PAD,0.1,24.8,101.0,4.1,0.1,-0.1,-0.1,0.2,-9.4,-0.1,-0.5,209.0,18:58:51,79.699997,33.385391,-117.495575,12,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
7,00:00:07,7,F,LAUNCH_PAD,0.5,24.8,101.0,4.1,0.1,0.1,-0.1,0.3,-9.5,0.1,-0.6,209.0,18:58:52,79.800003,33.385387,-117.495575,12,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
8,00:00:08,8,F,LAUNCH_PAD,0.9,24.8,101.0,4.1,0.1,-0.0,-0.1,-0.1,-9.4,0.0,-0.5,209.0,18:58:53,79.800003,33.385387,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
9,00:00:09,9,F,LAUNCH_PAD,0.5,24.8,101.0,4.1,0.1,-0.0,0.1,0.1,-9.4,0.0,-0.6,209.0,18:58:54,79.900002,33.385384,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
10,00:00:10,10,F,LAUNCH_PAD,-0.1,24.8,101.0,4.1,0.1,0.1,0.2,-0.2,-9.4,-0.1,-0.5,209.0,18:58:55,79.900002,33.385380,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
11,00:00:11,11,F,LAUNCH_PAD,0.5,24.9,101.0,4.1,0.1,-0.1,-0.0,0.0,-9.4,-0.1,-0.6,209.0,18:58:56,79.900002,33.385380,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
12,00:00:12,12,F,LAUNCH_PAD,0.5,24.9,101.0,4.1,0.1,0.1,-0.3,-0.2,-9.5,0.0,-0.4,209.0,18:58:57,79.900002,33.385376,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
13,00:00:13,13,F,LAUNCH_PAD,0.3,24.9,101.0,4.1,0.1,0.1,0.2,0.1,-9.4,0.1,-0.4,209.0,18:58:58,80.000000,33.385376,-117.495575,16,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
14,00:00:14,14,F,LAUNCH_PAD,0.8,24.9,101.0,4.1,0.1,-0.0,-0.1,0.2,-9.4,0.1,-0.6,209.0,18:58:59,80.000000,33.385372,-117.495575,15,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
15,00:00:15,15,F,LAUNCH_PAD,0.2,24.9,101.0,4.1,0.1,-0.1,0.3,-0.2,-9.4,-0.1,-0.7,209.0,18:59:00,80.000000,33.385372,-117.495583,11,N/A,1.8,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
