PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:13:36,434,F,LAUNCH_PAD,-0.1,25.9,101.4,4.0,0.1,-23.2,-22.8,4.1,-5.9,-2.1,6.7,106.5,15:52:27,87.300003,33.385422,-117.495491,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
2,00:13:37,435,F,LAUNCH_PAD,-0.5,25.9,101.4,4.0,0.1,-0.6,-1.3,-11.8,-4.8,-5.8,6.6,84.6,15:52:28,87.300003,33.385422,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
3,00:13:38,436,F,LAUNCH_PAD,0.4,25.9,101.4,4.0,0.1,-0.2,-5.8,7.1,-4.5,-5.4,6.8,87.2,15:52:29,87.300003,33.385422,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
4,00:13:39,437,F,LAUNCH_PAD,-0.0,25.9,101.4,4.0,0.1,-22.1,-10.8,18.5,-5.1,-5.5,7.0,68.2,15:52:30,87.300003,33.385422,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
5,00:13:40,438,F,LAUNCH_PAD,-0.1,25.9,101.4,4.0,0.1,0.8,-5.0,5.3,-4.7,-5.8,5.9,58.7,15:52:31,87.400002,33.385418,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
6,00:13:41,439,F,LAUNCH_PAD,-0.4,25.9,101.4,4.0,0.1,6.3,10.6,-8.6,-4.7,-6.0,6.3,61.8,15:52:32,87.500000,33.385414,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
7,00:13:42,440,F,LAUNCH_PAD,-0.1,25.9,101.4,4.0,0.1,0.6,-2.1,1.8,-4.4,-5.7,6.9,64.9,15:52:33,87.500000,33.380001,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
8,00:13:43,441,F,LAUNCH_PAD,-0.3,25.9,101.4,4.0,0.1,-0.2,-1.7,3.2,-4.6,-5.5,6.7,63.6,15:52:34,87.900002,33.385414,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
9,00:13:44,442,F,LAUNCH_PAD,-0.4,25.9,101.4,4.0,0.1,-2.1,-0.9,0.9,-4.7,-5.5,6.7,63.0,15:52:35,88.000000,33.385414,-117.495483,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
10,00:13:45,443,F,LAUNCH_PAD,-0.7,25.9,101.4,4.0,0.1,1.4,-0.7,2.4,-4.6,-5.5,6.7,62.8,15:52:36,88.000000,33.385410,-117.495476,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
11,00:13:46,444,F,LAUNCH_PAD,0.4,25.9,101.4,4.0,0.1,-11.9,-4.6,10.7,-5.0,-5.4,6.8,55.0,15:52:37,88.099998,33.385410,-117.495476,10,RST,1.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
