PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:20:18,345,F,LAUNCH_PAD,1.3,29.6,101.4,3.9,0.1,-0.7,1.1,-0.7,-1.8,9.6,1.0,3.0,16:45:24,18.000000,33.385246,-117.495506,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
2,00:20:19,346,F,LAUNCH_PAD,1.3,29.5,101.4,3.9,0.1,-0.2,-1.1,-2.3,-1.9,9.5,1.2,2.7,16:45:25,19.600000,33.385269,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
3,00:20:20,347,F,LAUNCH_PAD,1.1,29.5,101.4,3.9,0.1,-0.6,-1.3,0.8,-1.8,9.4,1.2,0.7,16:45:26,20.200001,33.385277,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
4,00:20:21,348,F,LAUNCH_PAD,0.9,29.4,101.4,3.9,0.1,-1.8,4.6,0.2,-2.2,9.4,1.1,359.4,16:45:27,20.200001,33.385277,-117.495499,4,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
5,00:20:22,349,F,LAUNCH_PAD,1.2,29.4,101.4,3.9,0.1,0.1,-0.6,1.8,-2.2,9.4,1.3,358.2,16:45:28,20.799999,33.385284,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
6,00:20:23,350,F,LAUNCH_PAD,1.0,29.4,101.4,3.9,0.1,-2.1,0.2,-1.1,-2.2,9.5,1.4,357.8,16:45:29,21.299999,33.385292,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
7,00:20:24,351,F,LAUNCH_PAD,1.3,29.2,101.4,3.9,0.1,-0.9,0.8,-0.1,-2.2,9.4,1.6,358.5,16:45:30,21.799999,33.385303,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
8,00:20:25,352,F,LAUNCH_PAD,1.5,29.0,101.4,3.9,0.1,0.9,-0.4,1.1,-2.1,9.5,1.6,358.9,16:45:31,23.100000,33.385311,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
9,00:20:26,353,F,LAUNCH_PAD,1.4,28.7,101.4,3.9,0.1,0.6,7.6,3.0,-2.1,9.3,1.4,358.4,16:45:32,23.600000,33.385315,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
10,00:20:27,354,F,LAUNCH_PAD,1.5,28.6,101.4,3.9,0.1,-1.1,-1.2,-1.6,-1.9,9.5,1.5,356.8,16:45:33,23.900000,33.385326,-117.495499,4,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
11,00:20:28,355,F,LAUNCH_PAD,1.8,28.5,101.4,3.9,0.1,0.8,1.1,0.6,-1.9,9.4,1.4,356.8,16:45:34,25.299999,33.385323,-117.495506,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
12,00:20:29,356,F,LAUNCH_PAD,1.9,28.4,101.4,3.9,0.1,0.6,0.2,0.2,-1.9,9.4,1.4,358.4,16:45:35,26.600000,33.385323,-117.495499,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
13,00:20:30,357,F,LAUNCH_PAD,1.2,28.3,101.4,3.9,0.1,-49.9,15.8,-16.4,-2.6,4.2,6.8,35.8,16:45:36,2.000000,33.385319,-117.495491,5,MECPAYLOADON,3.5,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
14,00:00:01,1,F,LAUNCH_PAD,0.3,28.9,101.4,3.9,0.1,-10.1,0.9,-14.1,-3.5,7.9,-5.3,91.8,16:45:51,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
15,00:00:02,2,F,LAUNCH_PAD,0.5,28.9,101.4,3.9,0.3,-9.6,3.8,1.0,-1.4,10.0,-0.6,67.3,16:45:52,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
16,00:00:03,3,F,LAUNCH_PAD,0.3,29.0,101.4,3.9,0.1,23.4,2.2,1.9,-0.8,9.4,0.4,62.7,16:45:53,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
17,00:00:04,4,F,LAUNCH_PAD,0.5,29.0,101.4,3.9,0.1,33.1,0.4,-2.0,-1.0,9.4,-1.7,71.0,16:45:54,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
18,00:00:05,5,F,LAUNCH_PAD,0.2,29.0,101.4,3.9,0.2,11.1,1.4,-1.6,-1.2,9.3,-0.6,65.4,16:45:55,0.000000,0.000000,0.000000,0,N/A,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
19,00:00:07,6,F,LAUNCH_PAD,0.2,29.0,101.4,3.9,0.2,1.4,-0.1,3.0,-1.0,9.5,-0.6,66.6,16:45:56,0.000000,0.000000,0.000000,0,MECPAYLOADON,0.7,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
20,00:00:08,7,F,LAUNCH_PAD,-0.1,29.0,101.4,3.9,0.1,4.6,-1.2,-6.8,-1.3,8.9,-2.2,78.0,16:45:58,0.000000,0.000000,0.000000,0,MECPAYLOADON,0.7,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
21,00:00:09,8,F,LAUNCH_PAD,-0.2,29.0,101.4,3.9,0.1,-47.8,-5.1,6.1,-2.8,9.1,-0.2,69.2,16:45:59,0.000000,0.000000,0.000000,0,MECPAYLOADON,0.7,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
22,00:00:10,9,F,LAUNCH_PAD,0.7,29.0,101.4,3.9,0.1,-41.1,12.0,-9.7,-0.0,8.6,3.5,45.2,16:46:00,0.000000,0.000000,0.000000,0,MECPAYLOADON,0.7,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
23,00:00:11,10,F,LAUNCH_PAD,0.2,29.1,101.4,3.9,0.1,8.6,6.8,-13.1,-0.6,8.7,3.6,39.1,16:46:01,27.500000,33.385273,-117.495544,5,MECPAYLOADON,0.7,FALSE,TRUE,FALSE,33.4,-117.5,-117.5
24,00:00:12,11,F,LAUNCH_PAD,0.2,29.1,101.4,3.9,0.1,-0.1,-3.4,2.1,-1.0,8.3,3.3,39.9,16:46:01,27.500000,33.385273,-117.495544,5,MECPAYLOADOFF,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
25,00:00:14,12,F,LAUNCH_PAD,0.6,29.1,101.4,3.9,0.2,-4.6,-2.6,5.1,0.4,8.9,4.9,36.1,16:46:04,27.600000,33.385277,-117.495544,4,MECPAYLOADOFF,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
26,00:00:15,13,F,LAUNCH_PAD,-0.1,29.2,101.4,3.9,0.1,-11.2,-3.1,0.1,-0.4,9.4,-1.9,73.4,16:46:05,27.600000,33.385277,-117.495544,4,MECPAYLOADOFF,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
27,00:00:16,14,F,LAUNCH_PAD,0.4,29.2,101.4,3.9,0.2,8.3,19.1,4.2,-0.7,9.9,-0.2,62.5,16:46:06,27.600000,33.385265,-117.495544,3,MECPAYLOADOFF,0.7,FALSE,FALSE,FALSE,33.4,-117.5,-117.5
