PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:06:38,394,F,LAUNCH_PAD,-5.4,29.0,101.4,3.9,0.1,-6.1,32.5,14.7,-9.9,0.9,1.2,138.1,17:45:37,0.000000,0.000000,0.000000,0,MECCONTOFF,0.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,00:00:01,1,F,LAUNCH_PAD,0.5,28.9,101.4,3.9,0.1,8.2,2.5,8.2,-8.8,0.2,2.2,124.1,23:59:49,0.000000,0.000000,0.000000,0,N/A,0.5,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,00:00:02,2,F,LAUNCH_PAD,1.0,28.9,101.4,3.9,0.1,-27.7,-14.0,-11.4,-9.4,0.1,2.7,130.9,23:59:50,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,00:00:03,3,F,LAUNCH_PAD,0.5,28.8,101.4,3.9,0.2,12.3,4.1,1.4,-9.9,0.4,1.2,128.3,23:59:51,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,00:00:04,4,F,LAUNCH_PAD,0.9,28.9,101.4,3.9,0.1,0.9,-25.2,-19.0,-9.5,-0.1,2.3,124.0,23:59:52,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,00:00:05,5,F,LAUNCH_PAD,0.9,28.9,101.4,3.9,0.1,-8.9,-11.4,-11.0,-9.2,-0.1,2.4,119.1,23:59:53,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,00:00:06,6,F,LAUNCH_PAD,0.9,28.9,101.4,3.9,0.1,-36.6,7.9,7.8,-9.4,-0.2,2.6,98.1,23:59:54,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,00:00:07,7,F,LAUNCH_PAD,0.4,28.9,101.4,3.9,0.1,-8.5,3.2,-19.3,-9.3,-0.2,2.5,67.7,23:59:55,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
9,00:00:08,8,F,LAUNCH_PAD,0.3,28.9,101.4,3.9,0.1,25.4,28.0,-5.8,-9.1,-0.2,2.4,87.6,23:59:56,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
10,00:00:09,9,F,LAUNCH_PAD,0.9,28.9,101.4,3.9,0.1,-6.4,29.2,-3.7,-9.4,-0.2,2.4,107.9,23:59:57,0.000000,0.000000,0.000000,0,N/A,1.0,FALSE,FALSE,FALSE,0.0,0.0,0.0
